Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.06,1.7,0.83,55.8,2.7603333,0.109498,0.0396684,19.58,0.62,0.3,20.21
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",52.56,1.59,0.63,54.08,2.7169289,0.100591,0.0370238,19.35,0.59,0.23,19.9
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",50.79,1.36,0.15,51.79,2.7018359,0.123093,0.045559,18.8,0.5,0.06,19.17
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",50.76,1.39,0.24,51.85,2.6822641,0.115703,0.0431363,18.92,0.52,0.09,19.33
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",49.22,1.37,0.34,50.41,2.6707464,0.099236,0.0371567,18.43,0.51,0.13,18.87
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",51.28,1.47,0.46,52.6,2.6976499,0.104751,0.0388305,19.01,0.54,0.17,19.5
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",53.43,1.4,0.29,54.57,2.7064197,0.125731,0.0464566,19.74,0.52,0.11,20.16
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.76,1.2,0.02,48.59,2.6359642,0.116209,0.044086,18.12,0.46,0.01,18.43
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.58,1.21,0.02,48.42,2.6673523,0.109674,0.0411172,17.84,0.45,0.01,18.15
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.89,1.18,0.02,49.71,2.6291888,0.125589,0.0477672,18.6,0.45,0.01,18.91
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.09,1.17,0.02,47.91,2.5983042,0.104921,0.0403806,18.12,0.45,0.01,18.44
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.58,1.18,0.03,48.4,2.5870729,0.103277,0.0399204,18.39,0.46,0.01,18.71
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.38,1.19,0.02,48.23,2.6324437,0.111385,0.0423124,18.0,0.45,0.01,18.32
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.04,1.2,0.01,48.88,2.6723948,0.125485,0.046956,17.98,0.45,0.0,18.29
":version :original, :n-workers 54, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.83,1.19,0.02,48.66,2.618855,0.111538,0.0425904,18.26,0.45,0.01,18.58
":version :original, :n-workers 56, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.35,1.18,0.02,48.19,2.6156335,0.110446,0.0422253,18.1,0.45,0.01,18.42
":version :original, :n-workers 58, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.18,1.2,0.02,49.01,2.6595682,0.122563,0.0460838,18.12,0.45,0.01,18.43
":version :original, :n-workers 60, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.06,1.19,0.03,47.89,2.6366583,0.116018,0.0440019,17.85,0.45,0.01,18.16
":version :original, :n-workers 62, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.06,1.19,0.02,47.9,2.62652,0.105195,0.0400511,17.92,0.45,0.01,18.24
":version :original, :n-workers 64, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.03,1.2,0.02,47.87,2.6447806,0.105594,0.0399254,17.78,0.45,0.01,18.1
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.08,1.18,0.02,45.93,2.6511699,0.14663,0.0553077,17.0,0.45,0.01,17.32
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.02,1.17,0.02,45.86,2.6304497,0.098659,0.0375065,17.11,0.44,0.01,17.43
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.61,1.15,0.02,46.42,2.5647153,0.079317,0.0309262,17.78,0.45,0.01,18.1
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.89,1.17,0.02,46.71,2.6010446,0.082355,0.0316623,17.64,0.45,0.01,17.96
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.88,1.18,0.02,46.73,2.6382425,0.082147,0.031137,17.39,0.45,0.01,17.71
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.85,1.17,0.02,47.66,2.6255444,0.101085,0.0385006,17.84,0.45,0.01,18.15
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.93,1.18,0.02,46.75,2.6249811,0.076946,0.029313,17.5,0.45,0.01,17.81
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.53,1.17,0.02,47.34,2.6120443,0.094128,0.0360361,17.81,0.45,0.01,18.12
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.24,1.16,0.02,47.08,2.5941758,0.083284,0.0321042,17.82,0.45,0.01,18.15
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.07,1.17,0.02,47.9,2.6014249,0.088737,0.0341109,18.09,0.45,0.01,18.41
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.99,1.19,0.02,47.83,2.6521713,0.095681,0.0360765,17.72,0.45,0.01,18.03
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.64,1.18,0.01,48.46,2.6410258,0.10027,0.0379663,18.04,0.45,0.0,18.35
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.34,1.19,0.02,49.19,2.6760478,0.126592,0.0473056,18.06,0.44,0.01,18.38
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.64,1.19,0.02,49.49,2.6605998,0.126592,0.0475802,18.28,0.45,0.01,18.6
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.13,1.17,0.02,47.95,2.5893182,0.090383,0.0349061,18.2,0.45,0.01,18.52
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.79,1.18,0.02,48.63,2.6193341,0.110567,0.0422119,18.25,0.45,0.01,18.57
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.72,1.19,0.02,47.57,2.6480219,0.099454,0.0375578,17.64,0.45,0.01,17.96
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.62,1.17,0.02,48.44,2.6096183,0.096876,0.0371227,18.25,0.45,0.01,18.56
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.01,1.18,0.02,48.86,2.6337613,0.112204,0.0426022,18.23,0.45,0.01,18.55
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.13,1.18,0.02,47.94,2.5955589,0.091428,0.0352248,18.16,0.45,0.01,18.47
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.4,1.18,0.02,48.23,2.6123409,0.10188,0.0389995,18.14,0.45,0.01,18.46
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.11,1.18,0.02,47.93,2.6170501,0.09926,0.0379282,18.0,0.45,0.01,18.31
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.99,1.19,0.02,48.83,2.6628214,0.112461,0.0422338,18.02,0.45,0.01,18.34
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",49.35,1.19,0.02,50.17,2.6190659,0.12568,0.0479866,18.84,0.45,0.01,19.16
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.93,1.18,0.02,47.76,2.6230998,0.096576,0.0368175,17.89,0.45,0.01,18.21
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.01,1.18,0.02,48.84,2.6273565,0.116675,0.0444078,18.27,0.45,0.01,18.59
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.73,1.19,0.02,48.58,2.6250256,0.112353,0.0428007,18.18,0.45,0.01,18.51
":version :original, :n-workers 54, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.08,1.19,0.02,48.92,2.6320388,0.120968,0.0459598,18.27,0.45,0.01,18.59
":version :original, :n-workers 56, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",51.53,1.21,0.02,52.35,2.7006335,0.17552,0.0649922,19.08,0.45,0.01,19.38
":version :original, :n-workers 58, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",49.62,1.21,0.02,50.46,2.7041512,0.150436,0.0556315,18.35,0.45,0.01,18.66
":version :original, :n-workers 60, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.81,1.19,0.03,48.65,2.6356285,0.107216,0.0406795,18.14,0.45,0.01,18.46
":version :original, :n-workers 62, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",51.82,1.21,0.02,52.68,2.7008878,0.181845,0.0673279,19.19,0.45,0.01,19.5
":version :original, :n-workers 64, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",50.76,1.22,0.02,51.61,2.7433279,0.183503,0.0668907,18.5,0.44,0.01,18.81
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.03,1.18,0.02,45.87,2.6589858,0.146708,0.0551744,16.94,0.44,0.01,17.25
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.07,1.18,0.02,45.92,2.6483877,0.10953,0.0413572,17.02,0.45,0.01,17.34
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.15,1.16,0.02,45.98,2.6050697,0.081434,0.0312598,17.33,0.45,0.01,17.65
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.89,1.18,0.02,47.74,2.6241232,0.095289,0.0363127,17.87,0.45,0.01,18.19
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.79,1.18,0.02,46.65,2.6436972,0.082293,0.031128,17.32,0.45,0.01,17.65
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.32,1.18,0.03,49.17,2.6343633,0.114139,0.043327,18.34,0.45,0.01,18.66
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.97,1.19,0.03,48.81,2.6472807,0.09764,0.0368831,18.12,0.45,0.01,18.44
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.4,1.17,0.01,48.21,2.5616443,0.077553,0.0302747,18.5,0.46,0.0,18.82
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.8,1.19,0.03,48.6,2.5977835,0.086178,0.0331737,18.4,0.46,0.01,18.71
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.76,1.2,0.02,49.61,2.6707209,0.114795,0.0429828,18.26,0.45,0.01,18.58
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.47,1.19,0.02,49.29,2.6148301,0.101248,0.0387207,18.54,0.46,0.01,18.85
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.57,1.2,0.02,48.41,2.6443269,0.105251,0.0398026,17.99,0.45,0.01,18.31
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.64,1.2,0.02,48.48,2.6393666,0.093233,0.035324,18.05,0.45,0.01,18.37
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.88,1.22,0.02,49.72,2.6437352,0.105142,0.0397702,18.49,0.46,0.01,18.81
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.93,1.17,0.01,47.74,2.599121,0.084205,0.0323975,18.06,0.45,0.0,18.37
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.92,1.17,0.02,48.75,2.5914287,0.10101,0.0389785,18.49,0.45,0.01,18.81
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.9,1.18,0.02,48.75,2.6409959,0.111015,0.0420353,18.14,0.45,0.01,18.46
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.86,1.18,0.02,48.68,2.5991243,0.105209,0.0404786,18.41,0.45,0.01,18.73
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.74,1.19,0.01,49.57,2.6375939,0.115113,0.0436432,18.48,0.45,0.0,18.79
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.49,1.19,0.01,48.32,2.6507996,0.10088,0.0380564,17.92,0.45,0.0,18.23
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.43,1.19,0.01,48.27,2.6484207,0.102236,0.0386026,17.91,0.45,0.0,18.23
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.31,1.18,0.03,49.12,2.6074389,0.10845,0.0415925,18.53,0.45,0.01,18.84
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",50.06,1.19,0.02,50.89,2.6346101,0.151551,0.0575231,19.0,0.45,0.01,19.32
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.63,1.19,0.03,49.47,2.6409269,0.127357,0.0482244,18.41,0.45,0.01,18.73
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.71,1.19,0.02,48.53,2.6221024,0.110877,0.0422855,18.2,0.45,0.01,18.51
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",51.47,1.21,0.02,52.32,2.6943336,0.170527,0.063291,19.1,0.45,0.01,19.42
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.74,1.18,0.02,48.56,2.6267898,0.109417,0.0416543,18.17,0.45,0.01,18.49
":version :original, :n-workers 54, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",51.91,1.22,0.03,52.77,2.716642,0.192651,0.0709151,19.11,0.45,0.01,19.42
":version :original, :n-workers 56, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.52,1.19,0.01,48.34,2.6507818,0.111854,0.0421966,17.93,0.45,0.0,18.24
":version :original, :n-workers 58, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.73,1.19,0.02,48.57,2.6481506,0.106971,0.0403946,18.02,0.45,0.01,18.34
":version :original, :n-workers 60, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.47,1.18,0.02,48.29,2.6086542,0.104718,0.0401425,18.2,0.45,0.01,18.51
":version :original, :n-workers 62, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",49.63,1.19,0.02,50.46,2.6505293,0.145048,0.0547242,18.72,0.45,0.01,19.04
":version :original, :n-workers 64, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",50.46,1.19,0.02,51.31,2.6552058,0.155154,0.0584339,19.0,0.45,0.01,19.32
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",44.98,1.17,0.01,45.8,2.6407417,0.14656,0.0554996,17.03,0.44,0.0,17.34
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.85,1.17,0.01,46.67,2.6135353,0.111837,0.0427915,17.54,0.45,0.0,17.86
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.21,1.15,0.02,47.03,2.5787118,0.088861,0.0344595,17.92,0.45,0.01,18.24
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.55,1.16,0.02,47.36,2.5802647,0.079386,0.0307666,18.04,0.45,0.01,18.35
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",45.96,1.17,0.03,46.81,2.6074254,0.077186,0.0296024,17.63,0.45,0.01,17.95
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.02,1.17,0.02,47.85,2.6231356,0.088101,0.0335861,17.93,0.45,0.01,18.24
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.84,1.16,0.02,47.66,2.5945045,0.096994,0.0373844,18.05,0.45,0.01,18.37
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.74,1.19,0.02,47.58,2.6718578,0.095333,0.0356804,17.49,0.45,0.01,17.81
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.65,1.19,0.03,48.5,2.6686964,0.127865,0.0479129,17.86,0.45,0.01,18.17
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.59,1.18,0.02,48.43,2.6316734,0.093465,0.0355154,18.08,0.45,0.01,18.4
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.81,1.18,0.02,47.65,2.649451,0.092617,0.0349571,17.67,0.45,0.01,17.98
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.73,1.16,0.02,47.53,2.5891068,0.094962,0.0366775,18.05,0.45,0.01,18.36
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.76,1.18,0.02,48.58,2.6305593,0.095844,0.0364348,18.16,0.45,0.01,18.47
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",49.14,1.19,0.02,49.97,2.6589861,0.128913,0.048482,18.48,0.45,0.01,18.79
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.53,1.18,0.02,48.37,2.6173208,0.106155,0.0405587,18.16,0.45,0.01,18.48
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.44,1.2,0.02,49.29,2.6810896,0.12143,0.0452913,18.07,0.45,0.01,18.38
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",49.73,1.19,0.02,50.57,2.6502907,0.141615,0.0534338,18.76,0.45,0.01,19.08
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.53,1.19,0.02,49.37,2.6364836,0.117527,0.0445772,18.41,0.45,0.01,18.73
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.3,1.17,0.02,48.12,2.6018996,0.105518,0.0405542,18.18,0.45,0.01,18.49
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",46.93,1.17,0.02,47.75,2.5971421,0.104924,0.0403998,18.07,0.45,0.01,18.39
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.2,1.19,0.03,48.03,2.638845,0.104747,0.0396943,17.89,0.45,0.01,18.2
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.93,1.21,0.03,48.79,2.6874097,0.110231,0.0410176,17.84,0.45,0.01,18.16
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.75,1.19,0.02,48.57,2.6219256,0.112697,0.0429825,18.21,0.45,0.01,18.52
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",49.9,1.2,0.02,50.76,2.6836069,0.158983,0.0592423,18.59,0.45,0.01,18.91
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",49.19,1.2,0.02,50.04,2.6482511,0.137245,0.0518248,18.57,0.45,0.01,18.9
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.45,1.19,0.02,48.26,2.624416,0.103014,0.0392522,18.08,0.45,0.01,18.39
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.6,1.18,0.03,49.44,2.6250832,0.126353,0.048133,18.51,0.45,0.01,18.83
