Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",79.7,3.12,0.43,81.31,2.8717223,0.161482,0.0562318,27.75,1.09,0.15,28.31
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.37,1.74,0.27,56.56,2.7195275,0.101075,0.0371664,20.36,0.64,0.1,20.8
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.47,1.33,0.24,48.53,2.615551,0.069589,0.0266059,18.15,0.51,0.09,18.55
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",50.12,1.56,0.65,51.63,2.7116513,0.077186,0.0284646,18.48,0.58,0.24,19.04
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",49.55,1.36,0.21,50.6,2.6935652,0.114495,0.0425069,18.4,0.5,0.08,18.79
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.23,1.34,0.19,49.26,2.6871516,0.097886,0.0364274,17.95,0.5,0.07,18.33
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.6,1.3,0.12,48.56,2.6377893,0.081606,0.0309373,18.05,0.49,0.05,18.41
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",57.97,1.67,0.67,59.53,2.7181189,0.094099,0.0346192,21.33,0.61,0.25,21.9
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",58.82,1.97,1.18,60.98,2.7965352,0.089031,0.0318362,21.03,0.7,0.42,21.81
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.15,1.89,1.13,56.24,2.7682793,0.107886,0.0389722,19.56,0.68,0.41,20.32
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.52,1.31,0.27,48.64,2.6508953,0.08975,0.0338565,17.93,0.49,0.1,18.35
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",48.72,1.35,0.27,49.85,2.6521425,0.099188,0.0373992,18.37,0.51,0.1,18.8
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",57.33,1.78,0.8,59.06,2.7815709,0.135856,0.0488415,20.61,0.64,0.29,21.23
