options: {:version :txact, :n-workers 1, :n-secondary-workers 2, :n-reservations 1000, :n-relations 50, :n-queries 10, :password-work-factor 5} Total execution time: 10690.693 ms
options: {:version :txact, :n-workers 2, :n-secondary-workers 2, :n-reservations 1000, :n-relations 50, :n-queries 10, :password-work-factor 5} Total execution time: 4222.135 ms
options: {:version :txact, :n-workers 4, :n-secondary-workers 2, :n-reservations 1000, :n-relations 50, :n-queries 10, :password-work-factor 5} Total execution time: 2079.266 ms
options: {:version :txact, :n-workers 6, :n-secondary-workers 2, :n-reservations 1000, :n-relations 50, :n-queries 10, :password-work-factor 5} WARNING: number of reservations is not divisible by number of workers. Total execution time: 1270.652 ms
options: {:version :txact, :n-workers 8, :n-secondary-workers 2, :n-reservations 1000, :n-relations 50, :n-queries 10, :password-work-factor 5} Total execution time: 1026.141 ms
options: {:version :txact, :n-workers 10, :n-secondary-workers 2, :n-reservations 1000, :n-relations 50, :n-queries 10, :password-work-factor 5} Total execution time: 732.958 ms
options: {:version :txact, :n-workers 12, :n-secondary-workers 2, :n-reservations 1000, :n-relations 50, :n-queries 10, :password-work-factor 5} WARNING: number of reservations is not divisible by number of workers. Total execution time: 671.877 ms
options: {:version :txact, :n-workers 14, :n-secondary-workers 2, :n-reservations 1000, :n-relations 50, :n-queries 10, :password-work-factor 5} WARNING: number of reservations is not divisible by number of workers. Total execution time: 650.223 ms
options: {:version :txact, :n-workers 16, :n-secondary-workers 2, :n-reservations 1000, :n-relations 50, :n-queries 10, :password-work-factor 5} WARNING: number of reservations is not divisible by number of workers. Total execution time: 600.289 ms
options: {:version :txact, :n-workers 18, :n-secondary-workers 2, :n-reservations 1000, :n-relations 50, :n-queries 10, :password-work-factor 5} WARNING: number of reservations is not divisible by number of workers. Total execution time: 603.193 ms
options: {:version :txact, :n-workers 20, :n-secondary-workers 2, :n-reservations 1000, :n-relations 50, :n-queries 10, :password-work-factor 5} Total execution time: 592.859 ms
