Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",80.46,8.53,0.8,111.34,3.0686462,0.170697,0.0556262,26.22,2.78,0.26,36.28
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.44,6.28,1.3,86.45,2.9066042,0.101418,0.0348923,19.42,2.16,0.45,29.74
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.71,6.07,1.1,84.6,2.8625176,0.116573,0.0407239,19.46,2.12,0.38,29.55
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.15,5.92,0.78,83.1,2.7912534,0.094553,0.0338747,19.76,2.12,0.28,29.77
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",61.76,6.76,2.29,93.07,2.9538355,0.111169,0.0376355,20.91,2.29,0.78,31.51
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",59.09,6.2,1.35,88.62,2.8106523,0.112997,0.0402031,21.02,2.21,0.48,31.53
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.23,5.79,0.26,82.69,2.7903648,0.102197,0.036625,19.79,2.07,0.09,29.63
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.03,5.68,0.07,81.13,2.7943659,0.114801,0.041083,19.34,2.03,0.03,29.03
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.54,5.66,0.1,81.61,2.7776412,0.124798,0.0449295,19.64,2.04,0.04,29.38
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.09,5.74,0.07,82.4,2.8083919,0.111476,0.0396939,19.62,2.04,0.02,29.34
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.18,5.69,0.07,83.33,2.7917092,0.149038,0.0533859,20.12,2.04,0.03,29.85
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.45,5.78,0.09,83.98,2.8487777,0.151774,0.0532769,19.82,2.03,0.03,29.48
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.1,5.68,0.08,81.14,2.7975256,0.117162,0.0418806,19.34,2.03,0.03,29.0
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.48,5.69,0.06,82.63,2.8179981,0.153181,0.0543581,19.69,2.02,0.02,29.32
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.11,5.67,0.07,81.08,2.7901989,0.12523,0.0448821,19.39,2.03,0.03,29.06
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",53.86,5.64,0.07,80.79,2.7721854,0.119396,0.0430693,19.43,2.03,0.03,29.14
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",53.63,5.79,0.07,81.27,2.8580641,0.116047,0.0406034,18.76,2.03,0.02,28.44
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.76,5.79,0.07,84.37,2.8487789,0.163402,0.0573586,19.92,2.03,0.02,29.62
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.01,5.64,0.07,80.88,2.7756792,0.120312,0.0433451,19.46,2.03,0.03,29.14
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.77,5.76,0.07,83.13,2.8261788,0.143231,0.0506801,19.73,2.04,0.02,29.41
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.03,5.72,0.06,82.32,2.8131582,0.130928,0.0465413,19.56,2.03,0.02,29.26
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.44,5.73,0.07,81.72,2.8113379,0.119851,0.0426313,19.36,2.04,0.02,29.07
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.33,5.65,0.08,81.27,2.7714064,0.118647,0.0428111,19.6,2.04,0.03,29.32
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.92,5.76,0.06,82.15,2.8210397,0.131474,0.0466048,19.47,2.04,0.02,29.12
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.41,5.72,0.07,81.6,2.8096711,0.124232,0.0442159,19.37,2.04,0.02,29.04
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",59.71,5.86,0.08,87.66,2.8783115,0.217559,0.0755856,20.74,2.04,0.03,30.46
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.21,5.68,0.07,82.28,2.7870812,0.131746,0.0472702,19.81,2.04,0.03,29.52
":version :original, :n-workers 54, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.33,5.74,0.08,83.72,2.820884,0.153876,0.0545489,19.97,2.03,0.03,29.68
":version :original, :n-workers 56, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.74,5.73,0.08,82.14,2.8100473,0.125535,0.0446736,19.48,2.04,0.03,29.23
":version :original, :n-workers 58, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.67,5.77,0.08,83.05,2.8319464,0.152346,0.0537955,19.66,2.04,0.03,29.33
":version :original, :n-workers 60, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.76,5.77,0.07,83.26,2.8329307,0.142289,0.0502268,19.68,2.04,0.02,29.39
":version :original, :n-workers 62, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.63,5.77,0.05,83.35,2.839994,0.140349,0.0494188,19.59,2.03,0.02,29.35
":version :original, :n-workers 64, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.86,5.78,0.07,84.36,2.828186,0.164129,0.0580333,20.1,2.04,0.02,29.83
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",51.36,5.71,0.07,79.0,2.8396878,0.163957,0.0577377,18.09,2.01,0.02,27.82
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",52.02,5.59,0.07,78.95,2.7675491,0.114835,0.0414934,18.8,2.02,0.03,28.53
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",52.28,5.55,0.09,79.0,2.734998,0.096682,0.0353499,19.12,2.03,0.03,28.88
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",52.81,5.57,0.07,79.73,2.7553015,0.090164,0.0327238,19.17,2.02,0.03,28.94
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",53.27,5.59,0.08,80.29,2.7686622,0.107244,0.038735,19.24,2.02,0.03,29.0
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",52.94,5.62,0.06,79.91,2.7773548,0.098077,0.0353131,19.06,2.02,0.02,28.77
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.83,5.66,0.09,82.03,2.7872602,0.127104,0.0456018,19.67,2.03,0.03,29.43
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.51,5.67,0.07,81.76,2.795117,0.11397,0.0407747,19.5,2.03,0.03,29.25
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.42,5.71,0.07,81.84,2.8174354,0.12278,0.0435786,19.32,2.03,0.02,29.05
