Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.53,1.13,0.02,44.32,2.5283973,0.028096,0.0111122,17.22,0.45,0.01,17.53
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.59,1.15,0.02,44.39,2.5781562,0.040745,0.0158039,16.91,0.45,0.01,17.22
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.88,1.14,0.04,43.7,2.5171271,0.036928,0.0146707,17.04,0.45,0.02,17.36
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.1,1.15,0.04,43.91,2.5345431,0.030702,0.0121134,17.01,0.45,0.02,17.32
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.13,1.17,0.03,43.96,2.5927178,0.034771,0.013411,16.64,0.45,0.01,16.96
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.93,1.13,0.02,43.71,2.5209825,0.027655,0.0109699,17.03,0.45,0.01,17.34
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.18,1.16,0.04,44.01,2.5666939,0.032643,0.0127179,16.82,0.45,0.02,17.15
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.02,1.14,0.03,43.83,2.5337862,0.034988,0.0138086,16.98,0.45,0.01,17.3
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.52,1.14,0.03,44.34,2.532564,0.032189,0.01271,17.18,0.45,0.01,17.51
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.99,1.16,0.03,43.81,2.5407118,0.02971,0.0116936,16.92,0.46,0.01,17.24
":version :original, :n-workers 54, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.82,1.16,0.01,43.64,2.5901232,0.030905,0.0119319,16.53,0.45,0.0,16.85
